name,email,phone,country
John Doe,john.doe@example.com,9876543210,United States
,alice@abc.com,,India
Bob Smith,bob.smith@example.com,1234567890,United Kingdom
Jane Doe ,,9876543210,Inda
Chris ,,999999999,United States
John Doe,john.doe@example.com,9876543210,United States
   Michael White   ,michael.white@email.com,9876543210,Unted States
Anna,annaemail.com,9876543210,India
Zack Smith,zack.smith@example,1234567890,Australia
Ava Taylor,ava.taylor@email.com,1122334455,Japan
Ethan Hunt,ethan.hunt@imf.org,1234567890,France
,missing.name@example.com,1112223333,India
Amy Wong,,9998887777,South Pole
Tim Cook,tim@apple.com,1234567890,United Stetes
Elon Musk   ,elon@spacex,1231231231,USA
Bob Smith,bob.smith@example.com,1234567890,United Kingdom
        Marry Poppins,marry.poppins@magic.uk,,United Kingdom
Dora Explorer,dora@map.com,0000000000,CartoonLand
Harry Potter,harry@hogwarts.com,987654321,Scotland
Hermione Granger,,9876543210,Britain
Ron Weasley,ron@weasley.com,1231231234,UK
Luna Lovegood,luna@hogwarts.com,9999999999,England
Ginny Weasley,ginny@weasley.com,9988776655,Ireland
Neville Longbottom,,9944332211,Irland
Tom Riddle,voldemort@dark.com,1111111111,Mordor
Sauron,sauron@evil.com,1010101010,Middle Earth
Frodo Baggins,frodo@shire.com,0000000000,Hobbiton
Samwise Gamgee,sam@shire.com,,Hobbiton
Bilbo Baggins    ,,1234567890,Shire
Gandalf,gandalf@white.com,9999999999,Valinor
Tony Stark,tony@starkindustries.com,9999999999,United States
Peter Parker ,spidey@marvel.com,1234567890,America
 Bruce Wayne,batman@dc.com,1234567890,Gotham
Clark Kent,superman@dc.com,9998887777,Metropolis
Diana Prince  ,wonder@amazon.com,1234567890,Themyscira
Barry Allen,flash@dc.com,1234567890,Central City
Arthur Curry,aquaman@ocean.com,1234567890,Atlantis
Victor Stone,cyborg@dc.com,1234567890,Detroit
Steve Rogers,cap@america.com,9999999999,United States
Natasha Romanoff,blackwidow@shield.com,9876543210,Russia
  Bruce Banner,hulk@green.com,0000000000,Canada
Scott Lang ,antman@marvel.com,1231231234,USA
Hope Van Dyne,wasp@marvel.com,,USA
Stephen Strange,strange@sorcery.com,1234567890,Nepal
Nick Fury ,fury@shield.com,1234567890,Unknown
Phil Coulson    ,coulson@shield.com,1234567890,Earth
Maria Hill,,1234567890,ShieldHQ
Peggy Carter,carter@shield.com,1234567890,Great Britain
    Howard Stark,howard@stark.com,9999999999,USA
James Rhodes  ,war.machine@army.com,1234567890,United States
